City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,kodinsk,58.6881,99.1844,249.28,100,42,0.58,RU,1733009400
313,dedougou,12.4667,-3.4667,293.46,21,4,3.21,BF,1733009401
314,forbes,-33.3833,148.0167,299.51,54,90,6.47,AU,1733009403
315,concepcion del oro,24.6333,-101.4167,288.26,31,82,2.19,MX,1733009404
316,zhelezinka,53.54,75.3072,256.03,98,68,1.91,KZ,1733009406
317,at-bashi,41.1702,75.8106,267.54,75,82,0.74,KG,1733009407
318,ta`u,-14.2336,-169.5144,301.14,73,94,6.44,AS,1733009408
319,kuta,-8.7233,115.1723,298.12,100,75,2.57,ID,1733009409
320,crucecita,-28.95,-58.9833,298.52,75,56,4.65,AR,1733009411
321,manokwari,-0.8667,134.0833,302.48,65,94,2.12,ID,1733009412
322,reshetylivka,49.565,34.0782,271.64,95,31,2.55,UA,1733009413
323,kristiansund,63.1115,7.732,283.78,81,75,3.09,NO,1733009414
324,itaberai,-16.0203,-49.8103,293.63,93,100,1.14,BR,1733009415
325,altay,47.8667,88.1167,264.69,75,80,2.7,CN,1733009416
326,kalemie,-5.9475,29.1947,294.31,89,100,1.66,CD,1733009153
327,artesia,33.8658,-118.0831,297.71,28,75,1.54,US,1733009247
328,vilyuchinsk,52.9306,158.4028,274.3,98,100,2.1,RU,1733009422
329,hollister,36.8525,-121.4016,293.65,36,0,3.09,US,1733009181
330,sierra vista,31.5545,-110.3037,294.48,21,0,2.57,US,1733009424
331,revda,56.801,59.9303,269.86,93,96,4.48,RU,1733009425
332,viedma,-40.8135,-62.9967,293.94,39,37,10.39,AR,1733009164
333,ola,59.5833,151.2833,270.07,78,100,6.36,RU,1733009427
334,ploudalmezeau,48.5333,-4.65,287.36,93,100,6.17,FR,1733009430
335,ketchikan,55.3422,-131.6461,274.14,74,0,2.57,US,1733009432
336,novodvinsk,64.4165,40.8122,267.01,85,100,3.31,RU,1733009433
337,santana,-0.0583,-51.1817,303.25,66,0,5.14,BR,1733009434
338,debre werk',10.6667,38.1667,286.27,68,56,0.17,ET,1733009435
339,suva,-18.1416,178.4415,300.86,78,75,4.63,FJ,1733009436
340,callao,-12.0667,-77.15,297.44,83,75,6.17,PE,1733009438
341,dadeldhura,29.2984,80.5806,281.86,81,0,1.99,NP,1733009439
342,dame-marie,18.5667,-74.4167,299.57,86,58,3.5,HT,1733009440
343,tindouf,27.6711,-8.1474,288.4,31,0,2.06,DZ,1733009441
344,al kharj,24.155,47.3346,286.47,37,0,3.28,SA,1733009442
345,gray,35.4167,-100.802,284.04,38,0,1.94,US,1733009443
346,susuman,62.7833,148.1667,258.26,97,100,1.09,RU,1733009446
347,belle fourche,44.6714,-103.8522,275.88,83,100,1.73,US,1733009447
348,karatau,43.1667,70.4667,277.55,93,100,0.52,KZ,1733009448
349,hadibu,12.65,54.0333,297.99,75,70,4.52,YE,1733009449
350,francistown,-21.17,27.5079,291.93,45,1,3.75,BW,1733009450
351,"poblacion, san felipe",14.5665,121.0308,298.68,94,100,1.03,PH,1733009451
352,namibe,-15.1961,12.1522,294.5,81,33,1.96,AO,1733009452
353,chegdomyn,51.1167,133.0167,259.08,94,99,0.45,RU,1733009454
354,tir pul,34.5943,61.269,276.35,71,28,10.19,AF,1733009455
355,sihanoukville,10.6093,103.5296,297.12,83,20,1.03,KH,1733009457
356,sedalia,38.7045,-93.2283,273.99,86,100,4.12,US,1733009458
357,saint-paul,-21.0096,55.2707,296.2,76,88,0.36,RE,1733009459
358,kampong speu,11.5,104.3333,294.6,77,66,1.82,KH,1733009460
359,road town,18.4167,-64.6167,300.17,74,20,2.57,VG,1733009336
360,primorsk,46.7348,36.3443,273.9,74,61,4.63,UA,1733009463
361,san lawrenz,36.0553,14.204,286.96,59,4,9.59,MT,1733009464
362,rusape,-18.5278,32.1284,286.01,72,54,1.4,ZW,1733009465
363,saldanha,-33.0117,17.9442,289.18,85,7,8.03,ZA,1733009466
364,greenland,43.0362,-70.8328,274.82,67,51,0.89,US,1733009286
